ID	endo.reads	exo.reads	input.reads	frag.length	ChIP.endo.bam	ChIP.exo.bam	Input.bam	clone	mark	replicate	paired.end	RRPM	scaling	condition
410_H3K27me3_ChIP_r1	22261183	715113	7203105	147	410_H3K27me3_ChIP_r1.srt.nodup.mm10.bam	410_H3K27me3_ChIP_r1.srt.nodup.dm3.bam	410_H3K27me3_input_r1.srt.nodup.bam	410	H3K27me3	r1	FALSE	31.1296018950851	0.623646892169489	WT
410_H3K27me3_ChIP_r2	27958730	842936	7018683	147	410_H3K27me3_ChIP_r2.srt.nodup.mm10.bam	410_H3K27me3_ChIP_r2.srt.nodup.dm3.bam	410_H3K27me3_input_r2.srt.nodup.bam	410	H3K27me3	r2	FALSE	33.1682713752883	0.5290769405981	WT
439_H3K27me3_ChIP_r1	22854500	647619	7340332	146	439_H3K27me3_ChIP_r1.srt.nodup.mm10.bam	439_H3K27me3_ChIP_r1.srt.nodup.dm3.bam	439_H3K27me3_input_r1.srt.nodup.bam	439	H3K27me3	r1	FALSE	35.2900393595617	0.688642550635482	MCM2-2A
439_H3K27me3_ChIP_r2	25442259	548005	7693358	147	439_H3K27me3_ChIP_r2.srt.nodup.mm10.bam	439_H3K27me3_ChIP_r2.srt.nodup.dm3.bam	439_H3K27me3_input_r2.srt.nodup.bam	439	H3K27me3	r2	FALSE	46.4270563224788	0.813821041778816	MCM2-2A
442_H3K27me3_ChIP_r1	22307182	459779	6580048	147	442_H3K27me3_ChIP_r1.srt.nodup.mm10.bam	442_H3K27me3_ChIP_r1.srt.nodup.dm3.bam	442_H3K27me3_input_r1.srt.nodup.bam	442	H3K27me3	r1	FALSE	48.5171832554336	0.969983405070697	MCM2-2A
442_H3K27me3_ChIP_r2	22676274	445978	7545535	146	442_H3K27me3_ChIP_r2.srt.nodup.mm10.bam	442_H3K27me3_ChIP_r2.srt.nodup.dm3.bam	442_H3K27me3_input_r2.srt.nodup.bam	442	H3K27me3	r2	FALSE	50.8461717842584	1	MCM2-2A
586_H3K27me3_ChIP_r1	25203760	650259	6819063	147	586_H3K27me3_ChIP_r1.srt.nodup.mm10.bam	586_H3K27me3_ChIP_r1.srt.nodup.dm3.bam	586_H3K27me3_input_r1.srt.nodup.bam	586	H3K27me3	r1	FALSE	38.7595711862504	0.68584671646221	MCM2-R
586_H3K27me3_ChIP_r2	25133833	917146	6172482	148	586_H3K27me3_ChIP_r2.srt.nodup.mm10.bam	586_H3K27me3_ChIP_r2.srt.nodup.dm3.bam	586_H3K27me3_input_r2.srt.nodup.bam	586	H3K27me3	r2	FALSE	27.4043969008206	0.486267181015891	MCM2-R
588_H3K27me3_ChIP_r1	27791864	538209	7130600	147	588_H3K27me3_ChIP_r1.srt.nodup.mm10.bam	588_H3K27me3_ChIP_r1.srt.nodup.dm3.bam	588_H3K27me3_input_r1.srt.nodup.bam	588	H3K27me3	r1	FALSE	51.6376797861054	0.828633486247907	MCM2-R
588_H3K27me3_ChIP_r2	26049264	695840	7120977	147	588_H3K27me3_ChIP_r2.srt.nodup.mm10.bam	588_H3K27me3_ChIP_r2.srt.nodup.dm3.bam	588_H3K27me3_input_r2.srt.nodup.bam	588	H3K27me3	r2	FALSE	37.4357093584732	0.640920326511842	MCM2-R
