ID	endo.reads	exo.reads	input.reads	frag.length	ChIP.endo.bam	ChIP.exo.bam	Input.bam	clone	mark	replicate	paired.end	scaling	multi.reads	input.multi.reads
410_H3K4me3_ChIP_r1_R1	22448304	854143	6153071	148	410_H3K4me3_ChIP_r1_R1.merged.nodup.mm10.bam	410_H3K4me3_ChIP_r1_R1.merged.nodup.dm3.bam	410_H3K4me3_input_r1_R1.merged.nodup.bam	410	H3K4me3	r1	TRUE	0.657408654054415	1424349	396023
410_H3K4me3_ChIP_r2_R1	21383883	935318	8236934	157	410_H3K4me3_ChIP_r2_R1.merged.nodup.mm10.bam	410_H3K4me3_ChIP_r2_R1.merged.nodup.dm3.bam	410_H3K4me3_input_r2_R1.merged.nodup.bam	410	H3K4me3	r2	TRUE	0.600353035010553	1421114	535013
421_H3K4me3_ChIP_r1_R1	19653284	732938	6098307	148	421_H3K4me3_ChIP_r1_R1.merged.nodup.mm10.bam	421_H3K4me3_ChIP_r1_R1.merged.nodup.dm3.bam	421_H3K4me3_input_r1_R1.merged.nodup.bam	421	H3K4me3	r1	TRUE	0.766123464740537	1569078	402094
421_H3K4me3_ChIP_r2_R1	17986681	561521	6913942	148	421_H3K4me3_ChIP_r2_R1.merged.nodup.mm10.bam	421_H3K4me3_ChIP_r2_R1.merged.nodup.dm3.bam	421_H3K4me3_input_r2_R1.merged.nodup.bam	421	H3K4me3	r2	TRUE	1	1371163	457691
439_H3K4me3_ChIP_r1_R1	21980621	794588	7240656	148	439_H3K4me3_ChIP_r1_R1.merged.nodup.mm10.bam	439_H3K4me3_ChIP_r1_R1.merged.nodup.dm3.bam	439_H3K4me3_input_r1_R1.merged.nodup.bam	439	H3K4me3	r1	TRUE	0.706681953414852	1431338	519017
439_H3K4me3_ChIP_r2_R1	21858739	690210	6429832	157	439_H3K4me3_ChIP_r2_R1.merged.nodup.mm10.bam	439_H3K4me3_ChIP_r2_R1.merged.nodup.dm3.bam	439_H3K4me3_input_r2_R1.merged.nodup.bam	439	H3K4me3	r2	TRUE	0.813550948262123	1423891	457330
442_H3K4me3_ChIP_r1_R1	21440739	1138169	6682985	157	442_H3K4me3_ChIP_r1_R1.merged.nodup.mm10.bam	442_H3K4me3_ChIP_r1_R1.merged.nodup.dm3.bam	442_H3K4me3_input_r1_R1.merged.nodup.bam	442	H3K4me3	r1	TRUE	0.493354677556672	1365195	423952
442_H3K4me3_ChIP_r2_R1	21084906	871530	6682431	157	442_H3K4me3_ChIP_r2_R1.merged.nodup.mm10.bam	442_H3K4me3_ChIP_r2_R1.merged.nodup.dm3.bam	442_H3K4me3_input_r2_R1.merged.nodup.bam	442	H3K4me3	r2	TRUE	0.644293369132445	1382663	430955
410_H3K27ac_ChIP_r1_R1	28718968	268572	7867137	147	410_H3K27ac_ChIP_r1_R1.merged.nodup.mm10.bam	410_H3K27ac_ChIP_r1_R1.merged.nodup.dm3.bam	410_H3K27ac_input_r1_R1.merged.nodup.bam	410	H3K27ac	r1	TRUE	0.775657924132076	1403427	511172
410_H3K27ac_ChIP_r2_R1	25689908	208320	8268937	147	410_H3K27ac_ChIP_r2_R1.merged.nodup.mm10.bam	410_H3K27ac_ChIP_r2_R1.merged.nodup.dm3.bam	410_H3K27ac_input_r2_R1.merged.nodup.bam	410	H3K27ac	r2	TRUE	1	1234921	531726
421_H3K27ac_ChIP_r1_R1	24429682	371529	7472424	146	421_H3K27ac_ChIP_r1_R1.merged.nodup.mm10.bam	421_H3K27ac_ChIP_r1_R1.merged.nodup.dm3.bam	421_H3K27ac_input_r1_R1.merged.nodup.bam	421	H3K27ac	r1	TRUE	0.56070993112247	1381196	497497
421_H3K27ac_ChIP_r2_R1	33472615	377358	8084492	147	421_H3K27ac_ChIP_r2_R1.merged.nodup.mm10.bam	421_H3K27ac_ChIP_r2_R1.merged.nodup.dm3.bam	421_H3K27ac_input_r2_R1.merged.nodup.bam	421	H3K27ac	r2	TRUE	0.552048717663333	1816083	517908
439_H3K27ac_ChIP_r1_R1	29544726	287041	6595143	147	439_H3K27ac_ChIP_r1_R1.merged.nodup.mm10.bam	439_H3K27ac_ChIP_r1_R1.merged.nodup.dm3.bam	439_H3K27ac_input_r1_R1.merged.nodup.bam	439	H3K27ac	r1	TRUE	0.725749979968018	1677077	478527
439_H3K27ac_ChIP_r2_R1	34058313	397990	8028768	150	439_H3K27ac_ChIP_r2_R1.merged.nodup.mm10.bam	439_H3K27ac_ChIP_r2_R1.merged.nodup.dm3.bam	439_H3K27ac_input_r2_R1.merged.nodup.bam	439	H3K27ac	r2	TRUE	0.523430236940627	1813945	551465
442_H3K27ac_ChIP_r1_R1	24266186	305133	8279231	147	442_H3K27ac_ChIP_r1_R1.merged.nodup.mm10.bam	442_H3K27ac_ChIP_r1_R1.merged.nodup.dm3.bam	442_H3K27ac_input_r1_R1.merged.nodup.bam	442	H3K27ac	r1	TRUE	0.682718683328254	1344291	532403
442_H3K27ac_ChIP_r2_R1	26353915	432615	10550044	149	442_H3K27ac_ChIP_r2_R1.merged.nodup.mm10.bam	442_H3K27ac_ChIP_r2_R1.merged.nodup.dm3.bam	442_H3K27ac_input_r2_R1.merged.nodup.bam	442	H3K27ac	r2	TRUE	0.481536701223952	1281465	642220
410_H3K27me3_ChIP_r1	25222138	1236743	6071150	148	410_H3K27me3_ChIP_r1.merged.nodup.mm10.bam	410_H3K27me3_ChIP_r1.merged.nodup.dm3.bam	410_H3K27me3_input_r1.merged.nodup.bam	410	H3K27me3	r1	FALSE	0.341066818247607	2051702	625569
410_H3K27me3_ChIP_r2	23393559	1029334	6834663	148	410_H3K27me3_ChIP_r2.merged.nodup.mm10.bam	410_H3K27me3_ChIP_r2.merged.nodup.dm3.bam	410_H3K27me3_input_r2.merged.nodup.bam	410	H3K27me3	r2	FALSE	0.409791185368403	1919584	709696
421_H3K27me3_ChIP_r1	19634316	421812	6907667	146	421_H3K27me3_ChIP_r1.merged.nodup.mm10.bam	421_H3K27me3_ChIP_r1.merged.nodup.dm3.bam	421_H3K27me3_input_r1.merged.nodup.bam	421	H3K27me3	r1	FALSE	1	1911992	740437
421_H3K27me3_ChIP_r2	25559998	805408	6121143	147	421_H3K27me3_ChIP_r2.merged.nodup.mm10.bam	421_H3K27me3_ChIP_r2.merged.nodup.dm3.bam	421_H3K27me3_input_r2.merged.nodup.bam	421	H3K27me3	r2	FALSE	0.523724621558266	2495844	656059
439_H3K27me3_ChIP_r1	25732354	576858	6089336	146	439_H3K27me3_ChIP_r1.merged.nodup.mm10.bam	439_H3K27me3_ChIP_r1.merged.nodup.dm3.bam	439_H3K27me3_input_r1.merged.nodup.bam	439	H3K27me3	r1	FALSE	0.731223281986208	2714843	680107
439_H3K27me3_ChIP_r2	27021800	771855	6594216	147	439_H3K27me3_ChIP_r2.merged.nodup.mm10.bam	439_H3K27me3_ChIP_r2.merged.nodup.dm3.bam	439_H3K27me3_input_r2.merged.nodup.bam	439	H3K27me3	r2	FALSE	0.546491245117282	2855122	741272
442_H3K27me3_ChIP_r1	25002130	539150	6320693	147	442_H3K27me3_ChIP_r1.merged.nodup.mm10.bam	442_H3K27me3_ChIP_r1.merged.nodup.dm3.bam	442_H3K27me3_input_r1.merged.nodup.bam	442	H3K27me3	r1	FALSE	0.782364833534267	2652165	663321
442_H3K27me3_ChIP_r2	24495047	593932	6545598	147	442_H3K27me3_ChIP_r2.merged.nodup.mm10.bam	442_H3K27me3_ChIP_r2.merged.nodup.dm3.bam	442_H3K27me3_input_r2.merged.nodup.bam	442	H3K27me3	r2	FALSE	0.710202514766	2655091	694870
410_H3K9me3_ChIP_r1	11001514	103975	5962574	147	410_H3K9me3_ChIP_r1.merged.nodup.mm10.bam	410_H3K9me3_ChIP_r1.merged.nodup.dm3.bam	410_H3K9me3_input_r1.merged.nodup.bam	410	H3K9me3	r1	FALSE	0.832450108199086	7084779	612959
