ID	condition	replicate	accession
SRR1262962	SUV39H-dKO	r1	GSE57092
SRR1262963	SUV39H-dKO	r2	GSE57092
SRR1262964	SUV39H-dKO	r3	GSE57092
SRR1262959	WT	r1	GSE57092
SRR1262960	WT	r2	GSE57092
SRR1262961	WT	r3	GSE57092
GSM3890911	SUZ12-KO	r1	GSE127804
GSM3890919	SUZ12-KO	r2	GSE127804
GSM3890927	SUZ12-KO	r3	GSE127804
GSM3890910	WT	r1	GSE127804
GSM3890918	WT	r2	GSE127804
GSM3890926	WT	r3	GSE127804
SRR9117150	SETDB1-KO_4OHT	r1	PRJNA544540
SRR9117145	SETDB1-KO_4OHT	r2	PRJNA544540
SRR9117152	SETDB1-KO_no4OHT	r1	PRJNA544540
SRR9117161	SETDB1-KO_no4OHT	r2	PRJNA544540
