sample	file	clone	mark	timepoint	replicate	condition	project	ID
410_H3K27ac_T0_r4_R1	data/SCAR_seq/MCM2/rfd_files/410_H3K27ac_T0_r4_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27ac	T0	r4	WT	MCM2	410_H3K27ac_T0_r4_R1
410_H3K27ac_T0_r5_R1	data/SCAR_seq/MCM2/rfd_files/410_H3K27ac_T0_r5_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27ac	T0	r5	WT	MCM2	410_H3K27ac_T0_r5_R1
410_H3K27ac_T1_r4_R1	data/SCAR_seq/MCM2/rfd_files/410_H3K27ac_T1_r4_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27ac	T1	r4	WT	MCM2	410_H3K27ac_T1_r4_R1
410_H3K27ac_T1_r5_R1	data/SCAR_seq/MCM2/rfd_files/410_H3K27ac_T1_r5_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27ac	T1	r5	WT	MCM2	410_H3K27ac_T1_r5_R1
410_H3K27ac_T3_r4_R1	data/SCAR_seq/MCM2/rfd_files/410_H3K27ac_T3_r4_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27ac	T3	r4	WT	MCM2	410_H3K27ac_T3_r4_R1
410_H3K27ac_T3_r5_R1	data/SCAR_seq/MCM2/rfd_files/410_H3K27ac_T3_r5_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27ac	T3	r5	WT	MCM2	410_H3K27ac_T3_r5_R1
410_H3K27ac_T8_r4_R1	data/SCAR_seq/MCM2/rfd_files/410_H3K27ac_T8_r4_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27ac	T8	r4	WT	MCM2	410_H3K27ac_T8_r4_R1
410_H3K27ac_T8_r5_R1	data/SCAR_seq/MCM2/rfd_files/410_H3K27ac_T8_r5_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27ac	T8	r5	WT	MCM2	410_H3K27ac_T8_r5_R1
410_H3K27me3_T0_r2	data/SCAR_seq/MCM2/rfd_files/410_H3K27me3_T0_r2.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27me3	T0	r2	WT	MCM2	410_H3K27me3_T0_r2
410_H3K27me3_T0_r3	data/SCAR_seq/MCM2/rfd_files/410_H3K27me3_T0_r3.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27me3	T0	r3	WT	MCM2	410_H3K27me3_T0_r3
410_H3K27me3_T3_r2	data/SCAR_seq/MCM2/rfd_files/410_H3K27me3_T3_r2.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27me3	T3	r2	WT	MCM2	410_H3K27me3_T3_r2
410_H3K27me3_T3_r3	data/SCAR_seq/MCM2/rfd_files/410_H3K27me3_T3_r3.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27me3	T3	r3	WT	MCM2	410_H3K27me3_T3_r3
410_H3K27me3_T8_r2	data/SCAR_seq/MCM2/rfd_files/410_H3K27me3_T8_r2.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27me3	T8	r2	WT	MCM2	410_H3K27me3_T8_r2
410_H3K27me3_T8_r3	data/SCAR_seq/MCM2/rfd_files/410_H3K27me3_T8_r3.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27me3	T8	r3	WT	MCM2	410_H3K27me3_T8_r3
410_H3K4me3_T0_r1_R1	data/SCAR_seq/MCM2/rfd_files/410_H3K4me3_T0_r1_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K4me3	T0	r1	WT	MCM2	410_H3K4me3_T0_r1_R1
410_H3K4me3_T0_r2_R1	data/SCAR_seq/MCM2/rfd_files/410_H3K4me3_T0_r2_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K4me3	T0	r2	WT	MCM2	410_H3K4me3_T0_r2_R1
410_H3K4me3_T3_r1_R1	data/SCAR_seq/MCM2/rfd_files/410_H3K4me3_T3_r1_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K4me3	T3	r1	WT	MCM2	410_H3K4me3_T3_r1_R1
410_H3K4me3_T3_r2_R1	data/SCAR_seq/MCM2/rfd_files/410_H3K4me3_T3_r2_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K4me3	T3	r2	WT	MCM2	410_H3K4me3_T3_r2_R1
410_H3K4me3_T8_r1_R1	data/SCAR_seq/MCM2/rfd_files/410_H3K4me3_T8_r1_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K4me3	T8	r1	WT	MCM2	410_H3K4me3_T8_r1_R1
410_H3K4me3_T8_r2_R1	data/SCAR_seq/MCM2/rfd_files/410_H3K4me3_T8_r2_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K4me3	T8	r2	WT	MCM2	410_H3K4me3_T8_r2_R1
