ID	clone.id	mark	timepoint	replicate	endo.plus.reads	endo.minus.reads	exo.plus.reads	exo.minus.reads	frag.length
410_H3K27ac_T0_r4_R1	410	H3K27ac	T0	r4	7109678	7105818	706301	707937	147
410_H3K27ac_T0_r5_R1	410	H3K27ac	T0	r5	6100187	6095313	255779	256016	149
410_H3K27ac_T1_r4_R1	410	H3K27ac	T1	r4	7751334	7748330	315016	314864	147
410_H3K27ac_T1_r5_R1	410	H3K27ac	T1	r5	7319900	7321950	193787	193320	149
410_H3K27ac_T3_r4_R1	410	H3K27ac	T3	r4	6008851	6007869	468399	467210	147
410_H3K27ac_T3_r5_R1	410	H3K27ac	T3	r5	5518374	5513368	252771	253019	151
410_H3K27ac_T8_r4_R1	410	H3K27ac	T8	r4	4392473	4393370	632175	630270	147
410_H3K27ac_T8_r5_R1	410	H3K27ac	T8	r5	5157152	5156174	316986	316402	149
410_H3K27acinput_T0_r4_R1	410	H3K27acinput	T0	r4	6072401	6076296	126385	125827	147
410_H3K27acinput_T0_r5_R1	410	H3K27acinput	T0	r5	2934523	2932833	33715	33455	149
410_H3K27acinput_T1_r4_R1	410	H3K27acinput	T1	r4	3789854	3789670	48015	47942	147
410_H3K27acinput_T1_r5_R1	410	H3K27acinput	T1	r5	2847355	2847213	24602	24430	151
410_H3K27acinput_T3_r4_R1	410	H3K27acinput	T3	r4	3308730	3309059	54288	53875	147
410_H3K27acinput_T3_r5_R1	410	H3K27acinput	T3	r5	2697846	2696255	28204	28881	154
410_H3K27acinput_T8_r4_R1	410	H3K27acinput	T8	r4	2370047	2364434	45440	44902	147
410_H3K27acinput_T8_r5_R1	410	H3K27acinput	T8	r5	2419632	2420974	25517	25679	149
410_H3K27me3_T0_r2	410	H3K27me3	T0	r2	12595577	12601044	594379	596685	147
410_H3K27me3_T0_r3	410	H3K27me3	T0	r3	11218890	11220418	440514	440028	148
410_H3K27me3_T3_r2	410	H3K27me3	T3	r2	10153924	10148751	303908	302968	148
410_H3K27me3_T3_r3	410	H3K27me3	T3	r3	8091995	8084969	131434	130450	149
410_H3K27me3_T8_r2	410	H3K27me3	T8	r2	10558693	10559245	272697	273699	147
410_H3K27me3_T8_r3	410	H3K27me3	T8	r3	6857340	6850554	99382	99886	147
410_H3K27me3_X_T0_r1_R1	410	H3K27me3	X	T0	8978383	8984081	700359	700033	202
410_H3K27me3_X_T0_r2_R1	410	H3K27me3	X	T0	7424775	7425869	946745	947938	203
410_H3K27me3input_T0_r2_R1	410	H3K27me3input	T0	r2	7258033	7267604	31165	31201	149
410_H3K27me3input_T0_r3	410	H3K27me3input	T0	r3	2922516	2923664	11873	11928	147
410_H3K27me3input_T3_r2_R1	410	H3K27me3input	T3	r2	9949097	9943672	18501	18660	149
410_H3K27me3input_T3_r3	410	H3K27me3input	T3	r3	2714760	2715103	4690	4732	149
410_H3K27me3input_T8_r2_R1	410	H3K27me3input	T8	r2	8247615	8245947	18732	18811	149
410_H3K27me3input_T8_r3	410	H3K27me3input	T8	r3	3114177	3114003	7749	7731	147
410_H3K27me3input_X_T0_r2_R1	410	H3K27me3input	X	T0	5905383	5904497	44808	45049	205
410_H3K4me3_T0_r1_R1	410	H3K4me3	T0	r1	10380939	10378927	419806	419786	150
410_H3K4me3_T0_r2_R1	410	H3K4me3	T0	r2	11012472	11012534	1023416	1020492	148
410_H3K4me3_T3_r1_R1	410	H3K4me3	T3	r1	10327067	10321209	276850	276281	150
410_H3K4me3_T3_r2_R1	410	H3K4me3	T3	r2	13201607	13212096	819547	816958	148
410_H3K4me3_T8_r1_R1	410	H3K4me3	T8	r1	9685715	9676962	231694	231836	150
410_H3K4me3_T8_r2_R1	410	H3K4me3	T8	r2	11528582	11537495	849322	846240	150
410_H3K4me3input_T0_r1_R1	410	H3K4me3input	T0	r1	3252041	3251742	12613	12763	149
410_H3K4me3input_T0_r2_R1	410	H3K4me3input	T0	r2	7294478	7302690	40945	41360	149
410_H3K4me3input_T3_r1_R1	410	H3K4me3input	T3	r1	2909602	2909146	5019	5081	149
410_H3K4me3input_T3_r2_R1	410	H3K4me3input	T3	r2	8137408	8140977	18369	18512	149
410_H3K4me3input_T8_r1_R1	410	H3K4me3input	T8	r1	3583696	3584433	10287	10338	149
410_H3K4me3input_T8_r2_R1	410	H3K4me3input	T8	r2	9069303	9064780	32176	32009	149
410_H3K9me3_T0_r2	410	H3K9me3	T0	r2	4189832	4181236	205666	205902	107
410_H3K9me3_T0_r3	410	H3K9me3	T0	r3	5666883	5656481	135229	134947	107
410_H3K9me3_T3_r2	410	H3K9me3	T3	r2	5435487	5415276	44720	44708	109
410_H3K9me3_T3_r3	410	H3K9me3	T3	r3	9910853	9863551	42108	42608	108
410_H3K9me3_T8_r2	410	H3K9me3	T8	r2	5345215	5318072	33153	33591	107
410_H3K9me3_T8_r3	410	H3K9me3	T8	r3	11256462	11221981	22329	22588	107
410_H3K9me3input_T0_r2	410	H3K9me3input	T0	r2	3494064	3492921	23525	23682	148
410_H3K9me3input_T0_r3	410	H3K9me3input	T0	r3	7817691	7822917	42954	42733	150
410_H3K9me3input_T3_r2	410	H3K9me3input	T3	r2	3487545	3487476	12831	12804	148
410_H3K9me3input_T3_r3	410	H3K9me3input	T3	r3	10072556	10076302	17655	17669	148
410_H3K9me3input_T8_r2	410	H3K9me3input	T8	r2	3506967	3509180	17805	17753	149
410_H3K9me3input_T8_r3	410	H3K9me3input	T8	r3	10272614	10270674	19753	20274	147
410_SUZ12_T0_r1_R1	410	SUZ12	T0	r1	1171697	1169734	4105	4015	105
410_SUZ12_T0_r2_R1	410	SUZ12	T0	r2	1279651	1280137	14293	14141	228
410_SUZ12input_T0_r1_R1	410	SUZ12input	T0	r1	4740830	4741952	30639	30534	203
410_SUZ12input_T0_r2_R1	410	SUZ12input	T0	r2	5530135	5530966	141990	142444	207
438_H3K27me3_T0_r2	438	H3K27me3	T0	r2	10124889	10135612	277044	276485	127
438_H3K27me3_T0_r3	438	H3K27me3	T0	r3	9178871	9191481	258862	257991	147
438_H3K27me3_T3_r2	438	H3K27me3	T3	r2	11129731	11142464	133769	133093	146
438_H3K27me3_T3_r3	438	H3K27me3	T3	r3	7852274	7861166	96211	95891	147
438_H3K27me3_T8_r2	438	H3K27me3	T8	r2	7343798	7353488	102624	101937	127
438_H3K27me3_T8_r3	438	H3K27me3	T8	r3	6216897	6225896	53713	53495	147
438_H3K27me3input_T0_r2_R1	438	H3K27me3input	T0	r2	9057878	9058642	38014	37462	149
438_H3K27me3input_T0_r3	438	H3K27me3input	T0	r3	3017819	3018313	15151	14960	147
438_H3K27me3input_T3_r2_R1	438	H3K27me3input	T3	r2	10091065	10089923	13379	13340	149
438_H3K27me3input_T3_r3	438	H3K27me3input	T3	r3	2838197	2839770	4854	4817	149
438_H3K27me3input_T8_r2_R1	438	H3K27me3input	T8	r2	8589191	8593849	16611	16466	149
438_H3K27me3input_T8_r3	438	H3K27me3input	T8	r3	2810391	2812639	5368	5472	147
438_H3K4me3_T0_r1_R1	438	H3K4me3	T0	r1	10575235	10546539	402724	401904	148
438_H3K4me3_T0_r2_R1	438	H3K4me3	T0	r2	10845149	10828690	1231968	1229851	148
438_H3K4me3_T3_r1_R1	438	H3K4me3	T3	r1	11026259	11019263	194621	194501	150
438_H3K4me3_T3_r2_R1	438	H3K4me3	T3	r2	15729684	15725320	501794	499295	148
438_H3K4me3_T8_r1_R1	438	H3K4me3	T8	r1	11055016	11064797	194228	194558	150
438_H3K4me3_T8_r2_R1	438	H3K4me3	T8	r2	12767027	12777264	510260	509649	148
438_H3K4me3input_T0_r1_R1	438	H3K4me3input	T0	r1	3601858	3595505	13302	13346	149
438_H3K4me3input_T0_r2_R1	438	H3K4me3input	T0	r2	8416732	8423157	53204	53799	149
438_H3K4me3input_T3_r1_R1	438	H3K4me3input	T3	r1	3460031	3459528	5131	5185	148
438_H3K4me3input_T3_r2_R1	438	H3K4me3input	T3	r2	9521996	9518712	15635	15462	149
438_H3K4me3input_T8_r1_R1	438	H3K4me3input	T8	r1	2737211	2733280	5520	5538	149
438_H3K4me3input_T8_r2_R1	438	H3K4me3input	T8	r2	8926963	8915357	24054	23832	149
438_H3K9me3_T0_r2	438	H3K9me3	T0	r2	5674028	5683658	119937	119280	115
438_H3K9me3_T0_r3	438	H3K9me3	T0	r3	8976897	8994919	174837	175728	116
438_H3K9me3_T3_r2	438	H3K9me3	T3	r2	9194692	9176111	42938	43120	108
438_H3K9me3_T3_r3	438	H3K9me3	T3	r3	12067026	12049685	55684	55443	107
438_H3K9me3_T8_r2	438	H3K9me3	T8	r2	8396834	8379243	24855	24989	107
438_H3K9me3_T8_r3	438	H3K9me3	T8	r3	15362221	15328479	17056	17587	156
438_H3K9me3input_T0_r2	438	H3K9me3input	T0	r2	3945212	3942774	25698	25732	147
438_H3K9me3input_T0_r3	438	H3K9me3input	T0	r3	7671255	7677919	44802	45158	148
438_H3K9me3input_T3_r2	438	H3K9me3input	T3	r2	3111541	3109232	8890	9153	148
438_H3K9me3input_T3_r3	438	H3K9me3input	T3	r3	8425678	8429082	15157	14900	149
438_H3K9me3input_T8_r2	438	H3K9me3input	T8	r2	2726535	2726527	10714	10996	148
438_H3K9me3input_T8_r3	438	H3K9me3input	T8	r3	7379871	7387725	12514	12412	148
439_H3K27ac_T0_r4_R1	439	H3K27ac	T0	r4	7458081	7438748	298541	299883	148
439_H3K27ac_T0_r5_R1	439	H3K27ac	T0	r5	8169149	8149362	216020	216986	148
439_H3K27ac_T1_r4_R1	439	H3K27ac	T1	r4	7615833	7604795	316733	316811	147
439_H3K27ac_T1_r5_R1	439	H3K27ac	T1	r5	9354368	9329221	112671	111660	147
439_H3K27ac_T3_r4_R1	439	H3K27ac	T3	r4	5017068	5000973	329511	329130	147
439_H3K27ac_T3_r5_R1	439	H3K27ac	T3	r5	6601448	6589469	225248	225366	148
439_H3K27ac_T8_r4_R1	439	H3K27ac	T8	r4	4195940	4194225	428961	428709	147
439_H3K27ac_T8_r5_R1	439	H3K27ac	T8	r5	3938080	3935307	268157	267113	149
439_H3K27acinput_T0_r4_R1	439	H3K27acinput	T0	r4	2574747	2572789	62576	62037	147
439_H3K27acinput_T0_r5_R1	439	H3K27acinput	T0	r5	2788931	2785346	30498	30598	147
439_H3K27acinput_T1_r4_R1	439	H3K27acinput	T1	r4	2303392	2300953	32374	32021	147
439_H3K27acinput_T1_r5_R1	439	H3K27acinput	T1	r5	2649337	2646291	13801	13423	147
439_H3K27acinput_T3_r4_R1	439	H3K27acinput	T3	r4	2669437	2666746	40412	40487	147
439_H3K27acinput_T3_r5_R1	439	H3K27acinput	T3	r5	2262192	2260049	16960	16939	148
439_H3K27acinput_T8_r4_R1	439	H3K27acinput	T8	r4	2066670	2065955	33281	33270	147
439_H3K27acinput_T8_r5_R1	439	H3K27acinput	T8	r5	2217490	2214219	20843	21172	149
439_H3K27me3_T0_r2	439	H3K27me3	T0	r2	11427261	11456422	454219	454837	128
439_H3K27me3_T0_r3	439	H3K27me3	T0	r3	10296609	10317273	316695	317925	127
439_H3K27me3_T3_r2	439	H3K27me3	T3	r2	7403702	7408955	130924	131006	147
439_H3K27me3_T3_r3	439	H3K27me3	T3	r3	8627437	8638119	97820	97669	147
439_H3K27me3_T8_r2	439	H3K27me3	T8	r2	9573958	9587635	154306	154165	146
439_H3K27me3_T8_r3	439	H3K27me3	T8	r3	7160112	7164125	70847	70934	147
439_H3K27me3_X_T0_r1_R1	439	H3K27me3	X	T0	10621049	10639493	527440	528050	205
439_H3K27me3_X_T0_r2_R1	439	H3K27me3	X	T0	6589477	6606325	514480	515354	203
439_H3K27me3input_T0_r2_R1	439	H3K27me3input	T0	r2	7596689	7591104	29682	29833	149
439_H3K27me3input_T0_r3	439	H3K27me3input	T0	r3	3106145	3098480	12902	13305	147
439_H3K27me3input_T3_r2_R1	439	H3K27me3input	T3	r2	6793129	6787715	12149	12172	149
439_H3K27me3input_T3_r3	439	H3K27me3input	T3	r3	2378745	2376587	3894	3953	148
439_H3K27me3input_T8_r2_R1	439	H3K27me3input	T8	r2	6612785	6616896	13888	13824	149
439_H3K27me3input_T8_r3	439	H3K27me3input	T8	r3	2120780	2121303	4921	4975	148
439_H3K27me3input_X_T0_r2_R1	439	H3K27me3input	X	T0	4844115	4847046	31050	30724	205
439_H3K4me3_T0_r1_R1	439	H3K4me3	T0	r1	11249190	11211302	332716	333356	148
439_H3K4me3_T0_r2_R1	439	H3K4me3	T0	r2	14832105	14809344	1277617	1275444	148
439_H3K4me3_T3_r1_R1	439	H3K4me3	T3	r1	9858534	9855465	245503	245867	159
439_H3K4me3_T3_r2_R1	439	H3K4me3	T3	r2	13630530	13622904	719420	717936	148
439_H3K4me3_T8_r1_R1	439	H3K4me3	T8	r1	10156639	10162623	174686	175123	150
439_H3K4me3_T8_r2_R1	439	H3K4me3	T8	r2	12834824	12839736	656789	655937	148
439_H3K4me3input_T0_r1_R1	439	H3K4me3input	T0	r1	3290057	3292692	10029	10012	147
439_H3K4me3input_T0_r2_R1	439	H3K4me3input	T0	r2	10286240	10289066	52069	51969	148
439_H3K4me3input_T3_r1_R1	439	H3K4me3input	T3	r1	3212839	3209633	7569	7645	151
439_H3K4me3input_T3_r2_R1	439	H3K4me3input	T3	r2	8454025	8448363	17132	17232	149
439_H3K4me3input_T8_r1_R1	439	H3K4me3input	T8	r1	2732855	2729149	6166	6255	149
439_H3K4me3input_T8_r2_R1	439	H3K4me3input	T8	r2	8526328	8521885	25692	25538	149
439_H3K9me3_T0_r2	439	H3K9me3	T0	r2	5267338	5280733	98533	97497	107
439_H3K9me3_T0_r3	439	H3K9me3	T0	r3	7970754	7979183	106872	106263	108
439_H3K9me3_T3_r2	439	H3K9me3	T3	r2	6275295	6259313	17843	17869	107
439_H3K9me3_T3_r3	439	H3K9me3	T3	r3	10449257	10418094	22486	22319	116
439_H3K9me3_T8_r2	439	H3K9me3	T8	r2	7006506	6992207	24000	24278	107
439_H3K9me3_T8_r3	439	H3K9me3	T8	r3	13334113	13303552	22078	22129	147
439_H3K9me3input_T0_r2	439	H3K9me3input	T0	r2	3908496	3910282	22326	22416	147
439_H3K9me3input_T0_r3	439	H3K9me3input	T0	r3	9580686	9579961	41881	41993	148
439_H3K9me3input_T3_r2	439	H3K9me3input	T3	r2	2764594	2760136	8247	8377	148
439_H3K9me3input_T3_r3	439	H3K9me3input	T3	r3	7497452	7501289	13449	13320	148
439_H3K9me3input_T8_r2	439	H3K9me3input	T8	r2	2958711	2955450	13883	14030	147
439_H3K9me3input_T8_r3	439	H3K9me3input	T8	r3	7168013	7166687	14232	14003	148
439_SUZ12_T0_r1_R1	439	SUZ12	T0	r1	1215516	1216103	3760	3784	228
439_SUZ12_T0_r2_R1	439	SUZ12	T0	r2	1814230	1812589	16718	16714	228
439_SUZ12input_T0_r1_R1	439	SUZ12input	T0	r1	7246733	7252749	44475	43741	205
439_SUZ12input_T0_r2_R1	439	SUZ12input	T0	r2	5076725	5078271	110819	110810	204
442_H3K27ac_T0_r4_R1	442	H3K27ac	T0	r4	6902941	6886336	232700	232310	147
442_H3K27ac_T0_r5_R1	442	H3K27ac	T0	r5	6448637	6434837	262014	260827	147
442_H3K27ac_T1_r4_R1	442	H3K27ac	T1	r4	6276305	6262051	224197	223419	147
442_H3K27ac_T1_r5_R1	442	H3K27ac	T1	r5	9004626	8992571	153776	154597	148
442_H3K27ac_T3_r4_R1	442	H3K27ac	T3	r4	3567685	3564128	291527	291480	147
442_H3K27ac_T3_r5_R1	442	H3K27ac	T3	r5	4171615	4167476	170838	171092	149
442_H3K27ac_T8_r4_R1	442	H3K27ac	T8	r4	4114276	4112990	562742	562038	147
442_H3K27ac_T8_r5_R1	442	H3K27ac	T8	r5	3575964	3573268	311690	311859	149
442_H3K27acinput_T0_r4_R1	442	H3K27acinput	T0	r4	3690543	3693766	76410	76971	147
442_H3K27acinput_T0_r5_R1	442	H3K27acinput	T0	r5	2641138	2637831	32100	32113	147
442_H3K27acinput_T1_r4_R1	442	H3K27acinput	T1	r4	3261345	3262477	44723	44611	147
442_H3K27acinput_T1_r5_R1	442	H3K27acinput	T1	r5	2990627	2989442	19386	19391	147
442_H3K27acinput_T3_r4_R1	442	H3K27acinput	T3	r4	3129301	3124484	45324	45083	147
442_H3K27acinput_T3_r5_R1	442	H3K27acinput	T3	r5	2697105	2694833	26238	26397	149
442_H3K27acinput_T8_r4_R1	442	H3K27acinput	T8	r4	2492010	2490551	49643	50001	147
442_H3K27acinput_T8_r5_R1	442	H3K27acinput	T8	r5	1988245	1986389	23283	23241	149
442_H3K27me3_X_T0_r1_R1	442	H3K27me3	X	T0	7555030	7573508	317840	317357	203
442_H3K27me3_X_T0_r2_R1	442	H3K27me3	X	T0	8173292	8193685	544263	546139	207
442_H3K27me3input_X_T0_r2_R1	442	H3K27me3input	X	T0	5611368	5614324	33026	32869	204
442_SUZ12_T0_r1_R1	442	SUZ12	T0	r1	1113541	1111284	2855	2935	107
442_SUZ12_T0_r2_R1	442	SUZ12	T0	r2	1357128	1354230	12208	12488	225
442_SUZ12input_T0_r1_R1	442	SUZ12input	T0	r1	7220318	7225059	37604	37788	203
442_SUZ12input_T0_r2_R1	442	SUZ12input	T0	r2	7121828	7126111	138604	138349	203
